,sector,instrument,policy_country_iso_code,year
3,BuildingsSector,Market-basedInstruments,2,2004
4,BuildingsSector,VoluntaryApproaches,5,2004
5,ElectricitySector,CodesStandards,9,2004
6,ElectricitySector,DirectInvestment,5,2004
7,ElectricitySector,FiscalFinancialIncentives,13,2004
8,ElectricitySector,Market-basedInstruments,4,2004
9,ElectricitySector,VoluntaryApproaches,5,2004
10,GeneralSector,CodesStandards,8,2004
11,GeneralSector,DirectInvestment,6,2004
12,GeneralSector,FiscalFinancialIncentives,4,2004
13,GeneralSector,Market-basedInstruments,4,2004
14,GeneralSector,VoluntaryApproaches,4,2004
15,IndustrySector,CodesStandards,11,2004
16,IndustrySector,DirectInvestment,4,2004
17,IndustrySector,FiscalFinancialIncentives,10,2004
18,IndustrySector,Market-basedInstruments,3,2004
19,IndustrySector,VoluntaryApproaches,6,2004
20,LandSector,CodesStandards,7,2004
21,LandSector,DirectInvestment,4,2004
22,LandSector,FiscalFinancialIncentives,7,2004
23,LandSector,VoluntaryApproaches,3,2004
24,TransportSector,CodesStandards,9,2004
25,TransportSector,DirectInvestment,5,2004
26,TransportSector,FiscalFinancialIncentives,11,2004
27,TransportSector,Market-basedInstruments,1,2004
28,TransportSector,VoluntaryApproaches,2,2004
0,BuildingsSector,CodesStandards,14,2005
1,BuildingsSector,DirectInvestment,4,2005
2,BuildingsSector,FiscalFinancialIncentives,10,2005
3,BuildingsSector,Market-basedInstruments,2,2005
4,BuildingsSector,VoluntaryApproaches,5,2005
5,ElectricitySector,CodesStandards,9,2005
6,ElectricitySector,DirectInvestment,7,2005
7,ElectricitySector,FiscalFinancialIncentives,13,2005
8,ElectricitySector,Market-basedInstruments,5,2005
9,ElectricitySector,VoluntaryApproaches,5,2005
10,GeneralSector,CodesStandards,8,2005
11,GeneralSector,DirectInvestment,6,2005
12,GeneralSector,FiscalFinancialIncentives,5,2005
13,GeneralSector,Market-basedInstruments,4,2005
14,GeneralSector,VoluntaryApproaches,4,2005
15,IndustrySector,CodesStandards,11,2005
16,IndustrySector,DirectInvestment,4,2005
17,IndustrySector,FiscalFinancialIncentives,11,2005
18,IndustrySector,Market-basedInstruments,3,2005
19,IndustrySector,VoluntaryApproaches,6,2005
20,LandSector,CodesStandards,7,2005
21,LandSector,DirectInvestment,4,2005
22,LandSector,FiscalFinancialIncentives,7,2005
23,LandSector,VoluntaryApproaches,3,2005
24,TransportSector,CodesStandards,10,2005
25,TransportSector,DirectInvestment,5,2005
26,TransportSector,FiscalFinancialIncentives,12,2005
27,TransportSector,Market-basedInstruments,2,2005
28,TransportSector,VoluntaryApproaches,2,2005
0,BuildingsSector,CodesStandards,14,2006
1,BuildingsSector,DirectInvestment,6,2006
2,BuildingsSector,FiscalFinancialIncentives,11,2006
3,BuildingsSector,Market-basedInstruments,2,2006
4,BuildingsSector,VoluntaryApproaches,7,2006
5,ElectricitySector,CodesStandards,10,2006
6,ElectricitySector,DirectInvestment,11,2006
7,ElectricitySector,FiscalFinancialIncentives,14,2006
8,ElectricitySector,Market-basedInstruments,5,2006
9,ElectricitySector,VoluntaryApproaches,5,2006
10,GeneralSector,CodesStandards,8,2006
11,GeneralSector,DirectInvestment,6,2006
12,GeneralSector,FiscalFinancialIncentives,5,2006
13,GeneralSector,Market-basedInstruments,4,2006
14,GeneralSector,VoluntaryApproaches,4,2006
15,IndustrySector,CodesStandards,12,2006
16,IndustrySector,DirectInvestment,4,2006
17,IndustrySector,FiscalFinancialIncentives,11,2006
18,IndustrySector,Market-basedInstruments,3,2006
19,IndustrySector,VoluntaryApproaches,6,2006
20,LandSector,CodesStandards,7,2006
21,LandSector,DirectInvestment,4,2006
22,LandSector,FiscalFinancialIncentives,7,2006
23,LandSector,VoluntaryApproaches,3,2006
24,TransportSector,CodesStandards,11,2006
25,TransportSector,DirectInvestment,7,2006
26,TransportSector,FiscalFinancialIncentives,12,2006
27,TransportSector,Market-basedInstruments,2,2006
28,TransportSector,VoluntaryApproaches,2,2006
0,BuildingsSector,CodesStandards,15,2007
1,BuildingsSector,DirectInvestment,8,2007
2,BuildingsSector,FiscalFinancialIncentives,11,2007
