variable,"('G20', '')","('policy_id', 'nunique')","('policy_country_iso_code', '<lambda_0>')","('policy_country_iso_code', 'nunique')","('policy_start_date_analysis', 'p05')","('policy_start_date_analysis', 'p95')","('policy_start_date_analysis', 'median')","('em_share', 'unique')","('em_share', '<lambda_0>')","('variable', '')",name
b2,G20,53,"ARG,AUS,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF",15,2000.0,2018.0,2011.0,"[0.01660751 0.02241479 0.01710793 0.16021093 0.01436959 0.32227831
 0.10242006 0.09054632 0.03539057 0.05721199 0.01235376 0.01448132
 0.01777788 0.05736539 0.02024265]",0.960779014,b2,Building codes and standards as well as support for highly efficient construction
b3,G20,117,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF",16,1992.0,2018.2,2009.0,"[0.01436959 0.02241479 0.10242006 0.01660751 0.03922099 0.01710793
 0.01448132 0.09054632 0.16021093 0.01235376 0.05721199 0.05736539
 0.03539057 0.32227831 0.02024265 0.01777788]",1.000000001,b3,Performance and equipment standards as well as support for highly efficient appliances
b4,G20,5,"ARG,IND,KOR",3,2005.4,2018.0,2018.0,[0.09054632 0.01710793 0.01235376],0.12000801300000001,b4,Support scheme for heating and cooling
b5,G20,6,"ARG,IND,KOR,USA,ZAF",5,2005.0,2018.0,2011.5,[0.09054632 0.16021093 0.01448132 0.01710793 0.01235376],0.29470027000000004,b5,Support scheme for hot water and cooking
b6,G20,14,"ARG,AUS,CAN,CHN,EUE,IND,JPN,KOR,MEX,RUS,SAU,ZAF",12,1971.8,2019.0,2011.0,"[0.03539057 0.01235376 0.09054632 0.10242006 0.01660751 0.32227831
 0.01448132 0.02241479 0.02024265 0.01710793 0.05721199 0.01777788]",0.728833101,b6,Energy and other taxes
lt1,G20,19,"ARG,BRA,EUE,IND,JPN,KOR,MEX,SAU,TUR,ZAF",10,2000.4,2018.0,2011.0,"[0.03539057 0.01436959 0.01448132 0.01235376 0.02024265 0.09054632
 0.03922099 0.01777788 0.01710793 0.10242006]",0.36391107599999994,lt1,Urban planning and infrastructure investment
lt2,G20,56,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF",16,1993.75,2017.25,2009.0,"[0.01436959 0.03539057 0.01710793 0.16021093 0.01448132 0.01777788
 0.03922099 0.10242006 0.05736539 0.01235376 0.01660751 0.09054632
 0.32227831 0.02024265 0.02241479 0.05721199]",1.000000001,lt2,Energy/emissions performance standards or support for energy efficient light-duty vehicles
lt3,G20,43,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,TUR,USA",14,2000.0,2018.0,2009.0,"[0.01436959 0.03539057 0.01710793 0.16021093 0.01235376 0.02024265
 0.03922099 0.01660751 0.32227831 0.09054632 0.02241479 0.05736539
 0.05721199 0.10242006]",0.9677407959999998,lt3,Energy/emissions performance standards or support for energy efficient heavy-duty vehicles
lt4,G20,68,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF",16,1976.7,2019.0,2010.5,"[0.01710793 0.01235376 0.05736539 0.03922099 0.09054632 0.16021093
 0.01448132 0.10242006 0.02024265 0.02241479 0.01660751 0.32227831
 0.01436959 0.03539057 0.05721199 0.01777788]",1.000000001,lt4,Support scheme for biofuels
lt5,G20,25,"ARG,AUS,BRA,EUE,IDN,IND,JPN,KOR,RUS,TUR,ZAF",11,2002.0,2019.0,2012.0,"[0.03539057 0.01436959 0.01235376 0.05736539 0.09054632 0.01660751
 0.03922099 0.01448132 0.10242006 0.01710793 0.05721199]",0.457075432,lt5,Support for modal share switch
lt6,G20,49,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,TUR,USA,ZAF",15,2009.0,2019.0,2016.0,"[0.03539057 0.01710793 0.16021093 0.05736539 0.01448132 0.32227831
 0.01660751 0.09054632 0.10242006 0.01436959 0.02024265 0.03922099
 0.05721199 0.01235376 0.02241479]",0.9822221189999999,lt6,Support for low-emissions land transportation
lt7,G20,39,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF",16,1964.0,2019.0,2014.0,"[0.03539057 0.03922099 0.01448132 0.02024265 0.01235376 0.01710793
 0.10242006 0.32227831 0.01660751 0.02241479 0.01436959 0.05721199
 0.01777788 0.09054632 0.05736539 0.16021093]",1.0000000009999999,lt7,Tax on fuel and/or emissions
af1,G20,73,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,TUR,USA,ZAF",15,1992.0,2018.4,2013.0,"[0.09054632 0.01436959 0.32227831 0.16021093 0.02241479 0.01235376
 0.02024265 0.10242006 0.05736539 0.01710793 0.03922099 0.03539057
 0.01448132 0.05721199 0.01660751]",0.9822221189999999,af1,Standards and support for sustainable agricultural practices and use of agricultural products
af2,G20,9,"ARG,AUS,BRA,EUE,IND,MEX,USA",7,2009.0,2018.6,2014.0,"[0.03922099 0.10242006 0.01660751 0.01235376 0.02024265 0.16021093
 0.09054632]",0.441602226,af2,Incentives to reduce CO2 emissions from agriculture
af3,G20,10,"AUS,BRA,EUE,IDN,IND,KOR,USA",7,1999.85,2017.55,2013.5,"[0.16021093 0.10242006 0.01660751 0.01710793 0.03922099 0.09054632
 0.05736539]",0.483479133,af3,Incentives to reduce CH4 emissions from agriculture
af4,G20,9,"AUS,BRA,EUE,IND,KOR,TUR,USA",7,1991.0,2016.8,2010.0,"[0.10242006 0.01660751 0.01710793 0.03922099 0.09054632 0.01436959
 0.16021093]",0.44048332599999995,af4,Incentives to reduce N2O emissions from agriculture
af5,G20,129,"ARG,AUS,BRA,CAN,CHN,EUE,IDN,IND,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF",16,1976.8,2018.0,2009.0,"[0.01660751 0.02241479 0.03539057 0.03922099 0.02024265 0.10242006
 0.01448132 0.32227831 0.01436959 0.05736539 0.01710793 0.09054632
 0.16021093 0.05721199 0.01235376 0.01777788]",1.000000001,af5,Incentives to reduce deforestation and enhance afforestation and reforestation
af6,G20,11,"ARG,BRA,EUE,IDN,IND,KOR,MEX",7,2006.5,2019.0,2015.0,"[0.10242006 0.01710793 0.09054632 0.03922099 0.02024265 0.01235376
 0.05736539]",0.339257109,af6,Sustainability standards for biomass use
