policy_country_iso_code,year,N,F,Sp,B,C,N_policies_matrix,N_options,FiscalFinancialIncentives,Market-basedInstruments,CodesStandards,OtherRegulatoryInstruments,RDD,InformationEducation,VoluntaryApproaches,BarrierRemoval,ClimateStrategy,Target,DirectInvestment,SUM_instruments,Economic instruments,Regulatory instruments,Other instruments,SUM_instruments_IPCC
IND,1990,1,1.0,2.0,,0.02,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
IRL,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
IRN,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
IRQ,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ISL,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ISR,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ITA,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
JAM,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
JOR,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
JPN,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KAZ,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KEN,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KGZ,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KHM,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KIR,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KNA,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KOR,1990,2,3.0,1.5,1.0,0.04,1,2,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,3,0.5,0.5,0.0,2
KWT,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LAO,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LBN,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LBR,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LBY,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LCA,1990,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
